,TG_Titles,DM_Titles
0,"Watch the uncensored moment Will Smith smacks Chris Rock on stage at the Oscars, drops F-bomb",Awkward moment Andy Cohen forgets meeting Meghan Markle...twice
1,Dramatic timelapse footage shows lava engulfing car in Hawaii,Kardashian sisters dress up as mom Kris Jenner for her 67th birthday #shorts #celebrity
2,Yanny or Laurel video: which name do you hear? – audio,Prince William 'livid' at Prince Harry for Diana footage in Netflix docuseries
3,The Queen's sense of humour remembered: from off-mic quips to tea with Paddington,Miley Cyrus slams ex Liam Hemsworth in fiery single 'Flowers'
4,Key moments from historic Korean summit,Netflix and Royals at war over Prince Harry and Meghan Markle docuseries
5,Explosions rock Russian ammunition depot in Siberia,'Very strange!' Prince Harry and Meghan Markle Netflix most disputed claims | Royal expert reaction
6,Judge tells Larry Nassar 'I just signed your death warrant',Prince Harry and Meghan Markle slam Royals again in Netflix series
7,'Speak directly!': Putin has tense exchange with his chief spy,'Not true!' Royal expert reacts to MORE things wrong with The Crown season 5 | How accurate is...?
8,"Holocaust survivor, 102, meets nephew after thinking all family died in war",Lisa Marie Presley: The star's former Scientology counselor speaks out
9,Journalist reports live from Gaza as neighbouring building hit by Israel airstrike,'Very nervous!' Are Meghan Markle and Prince Harry worried about Netflix show reaction?
10,'I’m not a cat': lawyer gets stuck on Zoom kitten filter during court case,Bombshell Prince Harry and Meghan Markle Netflix trailer uses stock footage 😬
11,Joe Biden stumbles on steps of Air Force One,tWitch Boss's wife honors late husband: 'Stephen lit up every room'
12,Underground water pipe explosion destroys road in Ukraine,'Highly offensive!' Royal expert reacts to Netflix's The Crown Season 5 | How accurate is...?
13,Russian president Vladimir Putin braves subzero lake to mark Orthodox Epiphany,Brendan Fraser looks unrecognisable in 'The Whale' #shorts #celebrity #brendanfraser
14,Massive explosion at Ukrainian military ammunitions depot,Aaron Carter dies at 34: Inside the singer's troubled life and death
15,Beirut explosion: footage shows massive blast shaking Lebanon's capital,Ariana Grande's brother brutally attacked by teens in NYC #Shorts #Celebrity
16,Anonymous testicle-checking booth debuts in New Zealand,"'Grotesque!' Ex-I'm A Celeb star reacts to Matt Hancock, 'fab' Mike Tindall | Jungle Confidential"
